@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
511,'2020/01/13 08:27:31:889',21,1248.925781,1.056787,9.245245,4
512,'2020/01/13 08:29:31:698',22,86.132813,4.91445,17.431475,3
513,'2020/01/13 08:29:32:349',22,258.398438,4.665788,14.381228,3
514,'2020/01/13 08:29:33:032',22,0,2.535476,10.599704,3
515,'2020/01/13 08:29:33:715',22,0,4.927181,12.737056,3
516,'2020/01/13 08:29:34:432',22,430.664063,1.066499,8.422705,3
517,'2020/01/13 08:29:35:133',22,775.195313,5.07054,13.575429,3
518,'2020/01/13 08:29:35:832',22,947.460938,3.31635,8.894251,3
519,'2020/01/13 08:29:36:532',22,1291.992188,3.815248,10.617378,3
520,'2020/01/13 08:29:37:232',22,258.398438,5.148799,15.43124,3
521,'2020/01/13 08:29:37:932',22,2497.851563,3.948791,10.001747,3
522,'2020/01/13 08:29:38:599',22,172.265625,4.231322,13.53811,3
523,'2020/01/13 08:29:39:249',22,2325.585938,4.031485,9.418243,3
524,'2020/01/13 08:29:39:916',22,2497.851563,1.227417,7.162006,3
525,'2020/01/13 08:29:40:615',22,2454.785156,2.659475,7.869642,3
526,'2020/01/13 08:29:41:249',22,258.398438,5.192637,15.036119,3
527,'2020/01/13 08:29:41:932',22,2540.917969,0.683025,5.773048,3
528,'2020/01/13 08:29:42:615',22,387.597656,3.225646,10.796278,3
529,'2020/01/13 08:29:43:266',22,0,3.899432,9.194087,3
530,'2020/01/13 08:29:43:898',22,387.597656,4.263571,10.911746,3
531,'2020/01/13 08:29:44:583',22,2282.519531,1.15647,5.159729,3
532,'2020/01/13 08:29:45:282',22,172.265625,3.754526,11.488361,3
533,'2020/01/13 08:29:45:966',22,387.597656,3.913614,11.510105,3
